Epsilon,Tau,Dataset,CoverageProbability,CoverageError,PinballLoss,Sparsity,Time
0,0.1,Dataset 1,0.094,0.00600000000000001,0.768620981767603,0.0159680638722555,3.7193513
0,0.1,Dataset 2,0.129,0.029,2.2770805899053,0.0199600798403194,3.9353081
0,0.15,Dataset 1,0.148,0.00200000000000003,0.632169064859462,0.0179640718562874,3.8281369
0,0.15,Dataset 2,0.157,0.00699999999999998,2.06806872584623,0.0179640718562874,3.7776196
0,0.2,Dataset 1,0.205,0.00499999999999998,0.51388427875957,0.0199600798403194,3.866393
0,0.2,Dataset 2,0.199,0.001,1.85337670126377,0.0199600798403194,3.7247607
0,0.25,Dataset 1,0.248,0.002,0.444505283714166,0.0179640718562874,3.7324548
0,0.25,Dataset 2,0.237,0.013,1.67145638030144,0.0179640718562874,3.6960704
0,0.3,Dataset 1,0.303,0.00299999999999995,0.383054850508664,0.0199600798403194,3.5707789
0,0.3,Dataset 2,0.275,0.025,1.48707368749452,0.0858283433133733,5.4860393
0,0.35,Dataset 1,0.366,0.016,0.336620220332812,0.0199600798403194,3.6159637
0,0.35,Dataset 2,0.325,0.025,1.32145183314772,0.0199600798403194,3.8707726
0,0.4,Dataset 1,0.409,0.00899999999999995,0.304080713992373,0.0199600798403194,3.7055384
0,0.4,Dataset 2,0.371,0.029,1.18038985047388,0.0179640718562874,3.6699096
0,0.45,Dataset 1,0.482,0.0319999999999999,0.270342921542533,0.0179640718562874,3.5712596
0,0.45,Dataset 2,0.439,0.0110000000000001,1.05748078153584,0.0179640718562874,3.6050603
0,0.5,Dataset 1,0.527,0.027,0.245644777275613,0.0179640718562874,3.7683524
0,0.5,Dataset 2,0.484,0.016,0.948708781083451,0.0179640718562874,3.7801493
0,0.55,Dataset 1,0.578,0.0279999999999999,0.275066245862507,0.0199600798403194,3.6167229
0,0.55,Dataset 2,0.517,0.033,1.0413651322863,0.0199600798403194,3.7026201
0,0.6,Dataset 1,0.617,0.0169999999999999,0.308678629919325,0.0179640718562874,3.5524786
0,0.6,Dataset 2,0.558,0.042,1.15860529880454,0.0179640718562874,3.5011093
0,0.65,Dataset 1,0.646,0.004,0.346277918266265,0.0219560878243513,3.5311109
0,0.65,Dataset 2,0.621,0.029,1.30673567971799,0.0159680638722555,3.6557193
0,0.7,Dataset 1,0.675,0.025,0.382365826203518,0.0219560878243513,3.1236127
0,0.7,Dataset 2,0.664,0.036,1.45335785323719,0.0179640718562874,3.3703364
0,0.75,Dataset 1,0.714,0.036,0.434692707994994,0.0199600798403194,3.4661397
0,0.75,Dataset 2,0.735,0.015,1.72280594475612,0.0179640718562874,3.4905658
0,0.8,Dataset 1,0.805,0.005,0.525237009287479,0.0159680638722555,3.6923247
0,0.8,Dataset 2,0.782,0.018,2.05962094455467,0.0179640718562874,5.0547291
